City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kolkata,8/2/2018,33.29,64.64,4.48,31.22,35.7,8.69,1.17,4.35,20.91,1.39,11.55,,71.0,Satisfactory
Lucknow,6/15/2020,46.39,,5.99,11.68,11.5,11.74,1.07,6.84,48.03,11.1,11.6,,79.0,Satisfactory
Lucknow,7/27/2017,47.36,,6.93,14.54,,,12.12,4.42,13.47,1.48,3.08,,149.0,Moderate
Jaipur,3/24/2020,34.35,72.85,3.77,21.98,21.71,26.06,0.59,11.67,59.98,2.24,29.42,,92.0,Satisfactory
Ahmedabad,4/16/2017,,,,,,,,,,,,,,
Lucknow,9/18/2018,73.05,,6.59,21.56,19.82,29.24,0.89,5.05,24.56,0.1,0.2,,123.0,Moderate
Gurugram,2/1/2017,168.39,,4.49,8.65,,,0.76,4.34,2.71,2.76,27.59,,369.0,Very Poor
Lucknow,12/11/2016,235.85,,11.25,47.37,,,1.44,12.73,36.47,4.26,8.45,,431.0,Severe
Patna,11/22/2016,265.52,,23.9,36.2,60.11,,1.97,7.0,23.32,0.23,0.72,0.48,429.0,Severe
Patna,4/6/2020,51.74,163.76,46.35,48.99,51.0,11.97,1.42,11.73,21.01,0.17,3.54,0.29,140.0,Moderate
Ernakulam,4/5/2020,16.04,32.53,6.96,1.3,6.77,3.43,1.21,3.43,,0.03,0.04,0.0,64.0,Satisfactory
Mumbai,11/5/2016,,,,,,,0.0,,,,,,,
Lucknow,1/21/2020,139.53,,60.79,81.18,80.41,14.85,1.32,11.34,23.55,3.74,17.24,,256.0,Poor
Ahmedabad,1/19/2017,,,,,,,,,,0.0,0.0,0.0,,
Talcher,10/12/2018,,0.03,,18.5,,21.43,,0.04,14.84,,,,17.0,Good
Delhi,1/2/2015,186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,10.55,20.09,4.29,454.0,Severe
Chennai,3/5/2015,,,10.67,14.04,8.45,40.55,9.85,7.59,63.26,5.93,7.34,,,
Jorapokhar,6/8/2017,,154.1,7.96,9.89,,,0.4,41.89,6.7,,,,147.0,Moderate
Hyderabad,6/20/2017,7.38,23.73,7.42,12.26,6.26,5.71,0.14,3.67,39.37,0.0,0.3,0.05,83.0,Satisfactory
Thiruvananthapuram,10/14/2018,30.14,52.64,2.91,4.82,4.88,2.39,0.96,6.65,6.88,,,,61.0,Satisfactory
Amritsar,4/8/2017,33.2,49.73,16.68,40.39,,29.59,0.0,4.31,22.8,,,,,
Brajrajnagar,5/3/2019,12.49,32.55,11.5,9.98,15.61,75.93,2.02,5.78,6.34,0.0,,,,
Talcher,12/12/2019,83.05,251.29,9.19,35.25,41.45,,2.52,16.62,8.59,0.0,,,270.0,Poor
Patna,5/16/2016,64.47,,20.01,23.26,43.27,,1.8,10.55,26.46,0.18,0.71,0.43,141.0,Moderate
Thiruvananthapuram,2/24/2019,27.97,58.6,0.91,6.03,3.88,4.69,0.56,3.62,74.11,,,,104.0,Moderate
Gurugram,10/9/2016,88.97,,,,,,0.5,2.79,42.57,,,,205.0,Poor
Thiruvananthapuram,7/2/2018,19.23,34.53,3.1,9.0,7.28,3.03,0.74,5.33,32.83,,,,46.0,Good
Lucknow,5/11/2020,59.8,,7.17,12.38,10.81,8.55,0.87,7.18,33.78,14.87,7.35,,140.0,Moderate
Shillong,12/31/2019,6.7,1.06,0.69,2.2,0.96,2.27,0.17,5.88,37.16,0.2,0.12,,,
Thiruvananthapuram,3/18/2018,27.78,45.87,1.63,13.71,8.61,3.66,1.0,4.79,33.06,,,,65.0,Satisfactory
Coimbatore,4/5/2020,22.71,25.19,0.75,64.4,65.14,,0.56,6.06,31.9,0.0,0.02,,84.0,Satisfactory
Brajrajnagar,6/26/2018,30.66,53.71,4.93,10.81,15.74,5.84,2.5,12.38,7.73,0.7,,,107.0,Moderate
Jaipur,1/21/2020,47.88,93.14,6.07,34.98,33.96,29.34,0.81,9.74,53.34,2.89,4.32,,108.0,Moderate
Mumbai,11/22/2017,,,,,18.83,,0.0,,,0.0,0.0,0.0,,
Guwahati,12/15/2019,121.98,172.89,67.71,13.37,125.5,18.43,1.25,12.74,18.27,2.12,,,303.0,Very Poor
Thiruvananthapuram,4/29/2019,23.93,56.52,1.06,5.78,12.73,2.8,0.89,2.75,47.45,,,,70.0,Satisfactory
Delhi,12/18/2016,232.33,433.94,110.14,86.92,62.67,61.3,1.17,21.99,34.3,5.98,12.53,,411.0,Severe
Chennai,2/13/2020,49.48,98.17,6.56,18.01,24.45,38.99,0.93,17.74,23.31,4.38,0.04,,93.0,Satisfactory
Patna,2/25/2017,,,,,,,,,,,,,,
Delhi,9/25/2018,21.45,49.41,20.54,25.67,30.35,22.28,0.81,10.88,22.48,3.12,30.75,0.01,63.0,Satisfactory
Brajrajnagar,5/16/2018,53.9,107.07,3.86,19.28,23.14,7.53,3.14,12.71,28.91,0.0,,,116.0,Moderate
Visakhapatnam,3/26/2020,21.29,57.46,6.26,25.26,18.53,,0.43,8.2,12.88,4.21,20.06,0.69,69.0,Satisfactory
Ahmedabad,3/7/2018,56.51,,10.58,121.56,66.9,,10.58,81.19,54.42,8.42,53.98,13.31,807.0,Severe
Chennai,2/16/2016,80.38,,7.92,12.43,16.3,6.53,1.57,2.38,19.19,3.62,8.96,,160.0,Moderate
Patna,1/13/2020,149.01,130.51,64.44,33.01,91.2,19.65,3.65,11.17,11.03,3.05,1.11,4.42,223.0,Poor
Jaipur,7/23/2019,33.02,57.44,4.54,18.46,18.66,27.45,0.69,9.17,51.68,0.35,1.72,,71.0,Satisfactory
Gurugram,6/10/2017,107.85,,5.92,15.21,,,0.42,4.04,15.06,0.04,4.21,,345.0,Very Poor
Lucknow,6/14/2016,84.02,,5.72,30.46,5.57,,1.22,4.89,56.89,0.36,0.28,,179.0,Moderate
Chandigarh,6/6/2020,22.07,34.31,2.2,8.37,6.1,41.78,0.29,13.94,27.05,2.92,0.73,0.8,50.0,Good
Talcher,1/2/2018,,,,,,,,,,,,,,
Lucknow,9/26/2018,41.87,,6.97,21.35,19.76,31.98,1.1,4.0,21.61,0.47,0.22,,93.0,Satisfactory
Hyderabad,8/24/2018,14.36,56.52,5.88,24.14,16.98,18.06,0.31,8.55,12.62,0.76,3.43,1.41,48.0,Good
Gurugram,9/17/2019,58.53,124.72,6.18,7.66,13.37,,1.77,10.49,38.11,2.01,6.04,,112.0,Moderate
Jorapokhar,6/5/2020,,150.2,25.28,10.49,,8.96,0.37,18.6,29.4,,,,138.0,Moderate
Lucknow,4/9/2015,37.09,,6.94,22.89,4.14,,2.23,10.67,26.64,2.46,3.69,,104.0,Moderate
Gurugram,8/10/2016,,,,,6.95,,0.0,,,,,,,
Guwahati,9/7/2019,24.75,47.56,7.87,9.07,22.66,2.7,0.48,12.0,14.7,0.0,,,34.0,Good
Visakhapatnam,1/26/2017,82.19,127.59,3.74,25.96,15.4,15.25,1.12,4.77,100.61,8.61,13.06,2.9,173.0,Moderate
Patna,5/31/2019,31.34,,10.54,13.94,11.58,,0.99,39.09,125.18,1.2,13.63,4.79,205.0,Poor
Visakhapatnam,1/14/2018,199.94,283.0,36.34,62.91,62.89,27.2,2.11,14.33,37.74,5.08,7.05,2.3,334.0,Very Poor
Kochi,4/17/2020,20.29,31.14,91.69,4.44,76.43,3.61,0.98,17.05,1.35,,0.0,,97.0,Satisfactory
Thiruvananthapuram,11/11/2019,18.73,39.27,0.92,3.25,2.14,3.16,1.12,9.43,38.87,,,,69.0,Satisfactory
Patna,2/10/2020,97.02,177.26,63.82,53.96,115.49,30.99,1.36,9.59,14.1,2.37,9.49,3.86,226.0,Poor
Visakhapatnam,10/30/2019,41.58,69.57,7.2,35.0,23.77,3.33,0.79,20.54,43.45,2.15,5.82,1.23,81.0,Satisfactory
Patna,9/10/2019,50.89,,19.31,73.32,30.71,,1.32,55.74,,2.0,10.05,6.74,98.0,Satisfactory
Jaipur,5/2/2020,37.27,109.34,3.43,15.91,16.14,21.59,0.44,14.83,40.61,0.26,0.38,,100.0,Satisfactory
Chennai,7/13/2019,34.54,,7.23,15.18,22.37,35.18,0.98,5.32,26.49,0.0,1.54,,94.0,Satisfactory
Mumbai,5/27/2016,,,,,4.63,,0.0,,,0.0,0.0,0.0,,
Chennai,5/12/2019,51.8,,29.31,34.91,47.97,40.12,0.92,7.02,18.9,0.0,0.0,,150.0,Moderate
Chennai,11/11/2017,70.8,,5.55,21.71,13.12,247.22,1.1,12.95,32.78,0.19,1.83,,146.0,Moderate
Ahmedabad,3/18/2016,,,,,,,,,,,,,,
Visakhapatnam,2/16/2019,67.33,138.24,24.49,44.68,43.67,10.43,0.86,7.87,37.87,2.11,3.61,0.68,115.0,Moderate
Mumbai,7/19/2018,46.76,73.6,4.55,14.7,19.23,,1.2,9.71,24.56,0.72,,,82.0,Satisfactory
Delhi,7/7/2015,52.2,78.64,12.97,51.7,109.52,42.09,1.34,7.82,53.72,1.79,6.76,,175.0,Moderate
Ahmedabad,1/24/2015,,,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,,
Ahmedabad,3/27/2019,69.51,,54.2,85.74,53.69,,54.2,69.03,63.51,4.13,32.34,7.03,559.0,Severe
Bengaluru,5/14/2020,24.81,58.72,3.9,15.82,16.02,10.15,0.74,6.12,33.15,0.38,2.55,,66.0,Satisfactory
Delhi,1/11/2015,205.41,393.2,28.46,47.29,57.88,131.1,10.98,5.54,50.37,5.93,10.59,5.36,379.0,Very Poor
Lucknow,2/23/2015,,,5.42,27.46,4.22,,16.84,,23.22,2.89,3.8,,,
Ahmedabad,6/14/2018,78.7,,43.78,42.9,53.6,,43.78,31.43,20.06,8.43,59.55,1.17,523.0,Severe
Patna,9/3/2017,,,,,,,,,,,,,,
Amritsar,10/10/2017,,,,,35.61,44.32,0.0,,23.88,1.73,0.0,0.0,,
Ahmedabad,11/14/2016,,,,,,,,,,0.0,0.0,0.0,,
Gurugram,6/11/2016,65.59,,2.33,6.79,4.98,,0.33,2.85,35.97,,,,245.0,Poor
Lucknow,8/2/2017,37.85,,12.39,23.02,,,1.57,4.55,9.17,1.49,3.08,,76.0,Satisfactory
Delhi,5/7/2016,77.89,193.14,15.3,66.68,70.75,39.63,0.98,20.15,75.61,4.69,10.97,,229.0,Poor
Gurugram,4/5/2020,49.7,87.4,7.51,15.9,12.04,36.33,0.69,15.2,53.97,2.06,2.74,2.7,99.0,Satisfactory
Chandigarh,11/8/2019,45.3,72.48,38.26,8.67,35.9,7.29,0.74,9.2,9.4,3.36,4.68,0.89,82.0,Satisfactory
Ahmedabad,6/26/2015,66.39,,8.58,12.79,21.36,,8.58,11.09,4.96,1.76,6.18,0.57,201.0,Poor
Delhi,10/1/2016,117.28,232.03,40.76,73.71,90.15,40.08,1.4,24.55,109.06,1.82,11.99,,312.0,Very Poor
Jorapokhar,12/8/2017,,,,,,,,,,,,,,
Chennai,1/2/2020,27.59,23.01,8.99,11.47,19.86,65.15,0.76,7.0,21.31,6.81,0.05,,57.0,Satisfactory
Ahmedabad,5/7/2015,51.03,,6.24,20.47,26.2,,6.24,15.5,31.44,0.0,0.0,1.29,158.0,Moderate
Lucknow,2/14/2015,,,6.27,35.7,4.46,,17.62,,29.49,2.67,3.88,,,
Lucknow,4/29/2017,124.07,,18.11,57.45,,,1.64,7.71,96.8,2.0,5.18,,264.0,Poor
Gurugram,12/31/2017,217.74,395.4,86.04,23.48,53.13,,2.25,7.07,18.47,0.91,2.2,,365.0,Very Poor
Delhi,3/9/2016,109.16,164.84,35.5,49.75,76.08,35.16,1.16,31.56,66.4,4.96,10.61,,248.0,Poor
Patna,11/22/2017,210.4,,20.28,115.89,42.31,,1.37,20.66,102.94,0.44,3.76,1.64,335.0,Very Poor
Delhi,8/19/2019,38.55,86.13,26.99,28.59,38.82,25.62,1.31,8.6,28.06,2.77,28.61,2.5,99.0,Satisfactory
Hyderabad,5/5/2015,42.62,,5.37,15.34,20.37,,0.76,9.62,50.1,,,,116.0,Moderate
Delhi,9/2/2017,20.06,45.86,23.23,26.09,10.33,33.97,0.48,,25.0,0.12,0.0,,88.0,Satisfactory
Kochi,3/13/2020,33.99,107.54,125.72,1.39,97.96,4.47,1.24,20.57,1.55,,0.0,,122.0,Moderate
Lucknow,2/22/2018,233.24,,45.77,48.38,55.94,42.25,1.15,20.89,23.8,1.87,1.62,,394.0,Very Poor
Visakhapatnam,12/12/2017,76.95,128.31,21.61,43.73,40.7,17.37,1.16,11.13,36.79,3.93,7.83,1.67,159.0,Moderate
Mumbai,10/15/2019,50.61,111.2,21.49,33.54,55.03,14.75,1.15,14.05,26.74,3.22,,,116.0,Moderate
Amaravati,1/14/2020,82.66,111.92,1.62,14.0,8.76,19.57,0.85,17.11,56.49,0.91,1.78,0.13,168.0,Moderate
Jorapokhar,12/30/2019,70.97,181.4,8.88,9.11,,6.44,,25.18,24.57,,,,143.0,Moderate
Lucknow,12/21/2015,209.5,,20.35,10.65,4.22,,4.66,5.66,55.87,0.36,1.09,,362.0,Very Poor
Delhi,6/21/2015,59.73,82.7,7.05,50.78,40.03,66.21,1.59,6.11,52.78,1.08,4.73,,149.0,Moderate
Gurugram,11/30/2017,159.09,,23.95,16.36,24.94,,2.18,7.79,23.29,1.17,1.85,,328.0,Very Poor
Amritsar,11/19/2019,147.55,263.97,17.23,10.0,27.23,13.0,0.56,11.86,12.65,3.55,4.6,2.01,322.0,Very Poor
Talcher,9/12/2019,24.97,48.36,40.44,6.38,40.75,8.36,1.06,20.39,0.69,0.04,,,79.0,Satisfactory
Thiruvananthapuram,7/14/2019,10.78,27.74,0.74,2.95,11.58,1.92,0.57,1.66,24.72,,,,44.0,Good
Bhopal,4/10/2020,28.85,99.38,3.71,8.8,7.8,13.17,0.61,10.29,55.03,,,,100.0,Satisfactory
Mumbai,12/10/2019,82.73,150.62,23.16,46.79,68.58,20.61,1.22,13.51,37.99,7.25,,,171.0,Moderate
Thiruvananthapuram,10/29/2018,49.67,84.26,3.21,4.42,4.85,2.79,1.2,5.75,9.52,,,,87.0,Satisfactory
Thiruvananthapuram,1/29/2018,70.43,99.08,1.76,16.42,10.13,5.49,1.18,6.18,50.39,,,,112.0,Moderate
Patna,9/2/2015,,,8.27,10.16,17.83,,0.88,5.99,8.19,0.16,1.54,0.36,,
Visakhapatnam,7/19/2019,58.92,110.31,16.16,48.17,38.77,11.25,0.93,9.67,12.78,7.76,19.72,5.27,106.0,Moderate
Brajrajnagar,8/14/2019,8.93,14.62,4.07,6.99,8.11,34.44,1.86,2.89,6.6,0.0,,,,
Jorapokhar,4/1/2019,54.36,85.61,10.78,10.62,,6.29,0.0,6.67,9.1,,,,,
Visakhapatnam,1/27/2020,59.32,117.45,3.11,19.17,12.72,11.62,0.92,8.35,29.25,3.13,7.13,1.0,,
Hyderabad,5/13/2015,83.21,,33.82,21.74,54.46,,0.76,8.06,19.97,,,,125.0,Moderate
Chennai,12/22/2015,56.1,,10.67,16.39,27.63,352.89,1.76,1.49,36.75,,,,150.0,Moderate
Hyderabad,12/18/2018,22.35,34.08,5.64,29.09,19.52,9.2,0.4,9.12,20.98,2.48,32.46,1.62,67.0,Satisfactory
Patna,6/5/2018,73.28,,19.86,106.35,40.32,,1.14,39.36,73.29,5.98,53.75,27.67,163.0,Moderate
Delhi,6/20/2019,42.76,130.88,10.57,31.19,26.95,29.5,0.92,9.7,68.57,1.76,12.68,0.59,175.0,Moderate
Amritsar,3/20/2019,30.74,55.69,11.71,16.47,27.48,8.25,0.33,,26.54,2.97,2.09,7.95,86.0,Satisfactory
Patna,10/18/2016,161.25,,21.14,34.18,55.24,,1.41,1.18,9.78,0.23,0.81,0.52,,
Delhi,9/2/2018,40.9,80.4,20.91,23.44,29.51,31.34,0.87,9.81,23.36,1.95,33.74,0.15,116.0,Moderate
Gurugram,10/4/2017,90.59,,3.21,19.46,23.75,,0.69,6.33,30.07,0.03,4.42,,209.0,Poor
Patna,8/16/2017,,,,,,,,,,,,,,
Chennai,1/29/2017,36.77,,6.95,11.8,11.44,,0.0,2.08,9.38,0.03,0.05,,51.0,Satisfactory
Patna,10/10/2019,52.77,,14.19,45.07,32.02,,1.5,56.89,,,,,103.0,Moderate
Chennai,6/17/2016,41.29,,5.87,13.78,15.08,22.77,2.13,5.04,28.24,3.85,13.88,,102.0,Moderate
Hyderabad,7/15/2016,20.57,,9.02,12.83,21.84,,0.71,6.95,14.77,0.14,0.99,0.12,94.0,Satisfactory
Visakhapatnam,6/5/2019,50.27,126.08,5.74,31.49,21.31,12.96,0.85,7.79,25.76,4.88,6.84,2.2,88.0,Satisfactory
Jaipur,12/24/2017,70.37,145.27,58.21,48.02,19.04,23.84,0.0,7.95,51.36,6.13,6.06,,147.0,Moderate
Lucknow,11/22/2015,302.85,,21.43,16.83,4.3,,3.01,9.69,47.17,,,,443.0,Severe
Jorapokhar,5/13/2020,53.4,76.77,24.36,11.54,,8.95,1.11,24.09,66.84,,,,110.0,Moderate
Ahmedabad,2/28/2020,79.68,169.52,57.77,91.2,87.59,,57.77,64.67,50.27,2.85,46.56,1.13,962.0,Severe
Bengaluru,12/2/2015,13.36,33.82,8.24,24.04,17.46,22.0,1.7,11.07,8.15,0.73,1.66,,67.0,Satisfactory
Gurugram,11/13/2016,72.49,,7.78,10.14,,,,5.52,25.36,3.45,34.47,,179.0,Moderate
Mumbai,4/8/2018,,,,,98.44,,1.44,,,0.0,0.0,0.0,,
Coimbatore,1/26/2020,26.64,50.08,1.18,35.97,37.15,,0.4,11.11,54.09,0.01,0.0,,89.0,Satisfactory
Kolkata,7/28/2018,40.4,65.45,10.06,39.5,49.56,4.21,0.77,1.82,15.32,2.14,11.96,,68.0,Satisfactory
Ahmedabad,9/4/2018,114.85,,33.16,85.74,66.57,,33.16,28.74,17.57,3.94,16.02,0.65,,
Ahmedabad,4/22/2020,32.11,94.34,3.68,17.95,11.49,,0.45,15.83,42.22,5.48,33.62,2.16,101.0,Moderate
Brajrajnagar,9/24/2019,13.3,39.83,,,0.0,,0.0,,,0.4,,,49.0,Good
Thiruvananthapuram,2/23/2019,28.5,60.73,0.95,6.58,4.19,4.82,0.55,3.81,71.74,,,,90.0,Satisfactory
Chennai,12/26/2016,,,,,,,0.0,,,,,,,
Lucknow,9/13/2019,26.46,,9.15,18.02,18.6,29.67,1.08,5.11,22.44,1.39,5.11,,95.0,Satisfactory
Bengaluru,9/24/2016,39.41,102.24,7.88,29.0,10.48,84.68,0.52,3.87,10.98,0.5,2.27,,102.0,Moderate
Chennai,2/26/2017,44.1,,6.67,9.6,10.17,,0.0,4.42,18.06,0.11,0.14,,65.0,Satisfactory
Bengaluru,9/27/2019,32.55,75.73,10.14,28.02,32.03,14.16,1.04,4.97,33.78,0.64,2.63,,83.0,Satisfactory
Patna,2/18/2016,116.36,,23.25,25.19,48.45,,1.06,6.85,19.66,0.23,0.65,0.38,303.0,Very Poor
Amritsar,9/5/2018,,64.29,12.35,10.75,19.65,5.99,0.0,2.33,32.89,4.92,4.77,4.11,53.0,Satisfactory
Visakhapatnam,4/6/2019,32.96,109.5,13.85,43.6,34.45,6.14,0.63,8.55,9.24,2.85,5.75,0.88,86.0,Satisfactory
Thiruvananthapuram,6/18/2020,23.96,48.74,9.26,12.01,17.99,7.9,0.55,6.18,19.28,,,,57.0,Satisfactory
Amaravati,5/14/2019,40.41,102.09,1.99,21.47,13.17,4.15,0.5,25.09,43.31,0.06,1.6,0.11,,
Chandigarh,4/12/2020,15.62,44.12,1.34,10.16,6.38,33.38,0.51,12.02,27.2,3.32,0.62,1.13,46.0,Good
Patna,3/8/2018,118.69,,8.13,15.37,9.06,,1.77,37.06,61.54,0.35,3.39,0.98,286.0,Poor
Chennai,3/7/2016,56.24,,5.71,9.88,10.82,139.37,1.37,4.05,47.29,2.83,1.94,,135.0,Moderate
Thiruvananthapuram,8/10/2018,8.67,27.55,2.8,3.96,4.31,1.95,1.05,4.96,30.69,,,,66.0,Satisfactory
Amaravati,11/20/2019,80.27,113.24,2.34,12.84,8.83,13.44,0.79,14.86,60.68,0.31,1.85,0.12,162.0,Moderate
Patna,4/10/2017,230.97,,1.76,3.26,5.01,,0.97,4.1,16.77,0.08,0.46,0.12,,
Gurugram,4/5/2017,50.29,,2.25,10.04,,,0.51,6.58,39.63,0.02,1.74,,141.0,Moderate
Lucknow,5/30/2018,84.9,,7.4,45.48,29.11,34.3,0.21,6.64,,0.0,0.0,,214.0,Poor
Amaravati,1/27/2018,77.78,131.14,6.1,43.84,28.33,26.3,0.09,7.62,43.26,0.18,6.61,0.07,162.0,Moderate
Hyderabad,8/18/2015,34.23,,7.41,15.1,22.28,,0.88,6.49,16.88,1.06,4.98,0.04,102.0,Moderate
Gurugram,4/23/2016,92.07,,8.24,16.11,11.31,,1.46,10.24,34.89,,,,250.0,Poor
Hyderabad,1/18/2019,75.34,154.77,5.36,53.23,31.9,23.79,0.78,9.28,30.69,3.26,25.86,5.06,148.0,Moderate
Delhi,7/13/2015,36.68,54.36,12.21,37.71,105.59,41.83,1.3,8.11,37.7,1.96,6.02,,148.0,Moderate
Visakhapatnam,9/4/2016,37.11,57.14,13.96,26.57,23.37,8.45,0.46,21.12,17.67,5.35,17.46,3.31,67.0,Satisfactory
Patna,11/17/2017,110.19,,68.93,130.19,75.54,,1.42,22.51,51.18,0.57,5.03,2.36,233.0,Poor
Mumbai,10/4/2016,,,,,,,0.0,,,,,,,
Bengaluru,3/8/2020,38.66,84.01,3.91,21.71,22.73,14.03,0.88,6.71,40.31,0.37,1.11,,91.0,Satisfactory
Thiruvananthapuram,2/9/2018,42.41,63.08,1.81,15.58,9.72,4.92,0.95,6.25,51.88,,,,80.0,Satisfactory
Mumbai,6/18/2016,,,,,16.55,,0.0,,,0.0,0.0,0.0,,
Amaravati,8/10/2019,13.49,37.83,2.45,7.57,6.12,7.17,0.5,19.01,27.18,0.29,0.78,0.28,70.0,Satisfactory
Lucknow,3/28/2020,35.31,,11.3,10.39,12.15,31.79,1.01,4.93,32.18,6.93,2.84,,73.0,Satisfactory
Amritsar,1/18/2018,73.58,146.1,5.84,78.11,84.39,14.16,1.2,5.07,19.1,4.96,8.02,6.48,165.0,Moderate
Amritsar,1/2/2020,80.8,115.13,9.91,10.44,18.85,8.93,0.3,12.54,7.82,2.77,2.78,1.9,196.0,Moderate
Jorapokhar,4/13/2020,52.56,124.78,25.24,11.74,,8.7,2.14,36.92,52.75,,,,119.0,Moderate
Mumbai,6/29/2016,,,,,,,,,,,,,,
Jaipur,5/8/2020,32.87,96.85,3.9,17.34,18.06,23.54,0.64,12.13,59.21,1.45,1.22,,89.0,Satisfactory
Gurugram,9/10/2016,33.19,,,,,,0.5,3.09,11.2,,,,54.0,Satisfactory
Chennai,2/14/2018,55.38,,11.08,22.9,17.53,111.03,1.0,7.06,40.05,1.29,1.18,,138.0,Moderate
Ahmedabad,6/20/2015,29.28,,7.55,11.68,19.23,,7.55,4.01,12.64,1.64,7.0,0.62,179.0,Moderate
Lucknow,2/26/2018,101.97,,6.93,19.72,23.22,49.33,0.68,11.36,87.92,0.23,0.11,,317.0,Very Poor
Patna,3/2/2016,144.07,,33.61,27.11,60.76,,1.57,6.15,15.78,0.32,1.06,0.71,303.0,Very Poor
Amritsar,3/6/2020,17.61,61.51,17.42,11.14,26.82,12.0,0.74,11.49,27.23,1.38,1.47,1.98,68.0,Satisfactory
Lucknow,7/14/2017,55.44,,8.41,13.94,,,1.65,3.56,18.06,0.55,1.9,,82.0,Satisfactory
Bengaluru,9/3/2019,11.18,32.65,6.38,15.56,17.74,9.5,0.73,5.21,20.36,0.52,2.49,,51.0,Satisfactory
Mumbai,5/22/2016,,,,,16.48,,0.0,,,0.0,0.0,0.0,,
Gurugram,2/28/2017,163.37,,3.63,12.42,,,0.97,10.97,25.32,0.03,2.76,,325.0,Very Poor
Delhi,10/31/2016,434.92,521.21,181.22,113.21,174.25,95.27,2.36,71.56,153.52,9.61,21.68,,520.0,Severe
Brajrajnagar,9/28/2019,14.78,32.14,3.87,8.3,6.66,24.25,2.02,9.04,3.78,0.12,,,103.0,Moderate
Visakhapatnam,1/2/2019,132.69,265.78,16.21,92.32,62.29,14.25,1.28,28.06,91.78,5.31,8.93,3.89,298.0,Poor
Patna,12/7/2019,153.67,,40.56,26.29,46.84,,1.79,11.9,13.23,2.63,7.93,8.81,345.0,Very Poor
Thiruvananthapuram,11/11/2018,36.27,54.12,3.99,3.33,4.35,6.15,1.2,4.37,47.14,,,,83.0,Satisfactory
Mumbai,11/2/2019,11.99,39.96,18.12,23.12,41.17,16.57,0.64,14.22,9.88,5.09,,,57.0,Satisfactory
Hyderabad,3/31/2020,42.42,72.92,5.47,19.9,14.38,10.08,0.49,7.31,37.4,1.86,6.36,0.29,68.0,Satisfactory
Patna,10/16/2017,124.34,,16.55,44.6,39.43,,0.53,12.86,13.99,0.09,0.61,0.14,307.0,Very Poor
Hyderabad,6/19/2016,34.07,,5.87,12.21,18.08,,0.77,6.3,13.51,0.21,1.39,0.14,115.0,Moderate
Thiruvananthapuram,2/10/2020,98.87,134.53,8.71,23.62,19.62,19.45,1.29,10.76,52.3,,,,215.0,Poor
Visakhapatnam,3/2/2018,54.86,138.5,12.4,49.57,36.46,15.31,0.77,22.91,31.66,5.59,14.59,2.52,124.0,Moderate
Bengaluru,7/20/2016,25.56,29.45,5.78,12.58,10.7,14.64,0.46,4.45,31.06,2.88,5.47,,,
Chennai,1/27/2018,79.6,,11.77,19.89,16.59,101.14,0.89,7.26,40.58,1.2,2.54,,161.0,Moderate
Bengaluru,4/12/2015,19.72,,1.81,4.97,5.51,34.85,2.65,5.16,44.53,0.17,2.65,,122.0,Moderate
Gurugram,4/15/2020,59.01,185.92,7.03,18.25,12.74,39.87,0.79,13.21,45.18,7.67,3.84,3.54,138.0,Moderate
Delhi,10/24/2017,188.24,331.64,72.71,81.33,87.22,53.82,1.51,23.19,86.13,1.15,5.47,0.07,366.0,Very Poor
Bhopal,12/15/2019,69.58,105.5,6.59,36.82,25.03,22.4,0.84,5.88,38.72,,,,120.0,Moderate
Shillong,3/15/2020,27.04,42.2,0.88,2.55,1.02,2.61,0.21,4.85,44.13,435.9,435.94,,77.0,Satisfactory
Thiruvananthapuram,9/28/2018,26.0,45.3,2.9,7.34,6.2,2.51,0.94,5.42,36.45,,,,62.0,Satisfactory
Hyderabad,10/4/2018,39.63,85.85,6.61,33.83,22.06,14.36,0.45,5.14,24.63,2.19,17.12,1.33,79.0,Satisfactory
Chennai,2/2/2017,52.59,,8.83,16.78,15.28,,0.1,2.89,28.39,0.25,0.07,,89.0,Satisfactory
Jaipur,12/24/2018,62.08,133.18,19.03,41.02,50.01,20.08,1.31,12.24,55.13,1.22,7.07,,144.0,Moderate
Amritsar,6/17/2019,62.47,113.81,16.54,11.16,20.55,13.83,0.78,9.02,22.76,4.23,2.03,8.09,104.0,Moderate
Amritsar,5/8/2019,54.21,110.82,73.43,72.44,95.37,129.46,1.29,67.26,29.01,4.83,2.2,9.16,120.0,Moderate
Amritsar,1/2/2019,77.42,171.98,38.64,19.65,55.01,9.43,0.05,3.41,6.05,5.49,2.78,9.93,176.0,Moderate
Amritsar,5/25/2017,37.67,,11.47,15.34,,28.08,0.0,12.69,,6.4,,,270.0,Poor
Ahmedabad,4/17/2015,106.68,,19.91,46.38,54.77,,19.91,31.56,48.49,1.67,0.0,15.95,774.0,Severe
Amritsar,7/31/2019,17.41,41.49,9.36,9.96,17.13,10.51,0.35,12.07,14.03,3.58,1.09,8.2,47.0,Good
Amritsar,8/25/2017,38.36,94.01,10.19,8.41,,12.13,0.67,8.64,10.34,2.22,0.95,16.79,106.0,Moderate
